w x 1	|	1
r x	|	1
w x 1	|	Ack!
r x	|	1
operation: " w x 1 " | Ack: " Ack! " 
operation: " r x " | Ack: " 1 " 
operation: " r y " | Ack: " NULL " 
operation: " w x a " | Ack: " Ack! " 
operation: " r x " | Ack: " a " 
operation: " w x wer " | Ack: " Ack! " 
operation: " r x " | Ack: " wer " 
operation: " r d " | Ack: " NULL " 
operation: " w x 1 " | Ack: " ACK! " 
operation: " w x 1 " | Ack: " ACK! " 
operation: " w x q 1606909130864 " | Ack: " ACK! " 
operation: " r x 1606909113116 " | Ack: " ACK! " 
operation: " w x 1 1606909469320 " | Ack: " Ack! " 
operation: " w x 1 1606909763019 " | Ack: " Ack! " 
operation: " w x 1 1606910827262 " | Ack: " Ack! " 
operation: " r x 1606909336050 " | Ack: " NULL " 
operation: " r x 1606909336050 " | Ack: " NULL " 
operation: " w x 1 1606911060699 " | Ack: " Ack! " 
operation: " r x 1606911060699 " | Ack: " NULL " 
operation: " r x 1606911060699 " | Ack: " NULL " 
operation: " r x 1606911060699 " | Ack: " NULL " 
operation: " w x 2 1606911071835 " | Ack: " Ack! " 
operation: " r x 1606911071835 " | Ack: " NULL " 
operation: " w x 1 1606911114837 " | Ack: " Ack! " 
operation: " w x 1 1606970554638 " | Ack: " Ack! " 
operation: " r x 1606970554638 " | Ack: " 1 " 
operation: " w y 2 1606970563600 " | Ack: " Ack! " 
operation: " r y 1606970563600 " | Ack: " 2 " 
operation: " r x 1606970563600 " | Ack: " 1 " 
operation: " w x 2 1606970573537 " | Ack: " Ack! " 
operation: " r x 1606970573537 " | Ack: " 2 " 
operation: " w x 1 1606980001367 " | Ack: " Ack! " 
operation: " w x 2 1606980053994 " | Ack: " Ack! " 
operation: " r x 1606980053994 " | Ack: " 2 " 
operation: " r y 1606980053994 " | Ack: " NULL " 
operation: " r x 0 " | Ack: " NULL " 
operation: " w x 1 1606980249178 " | Ack: " Ack! " 
operation: " r x 1606980249178 " | Ack: " 1 " 
operation: " w x 1 1606985776810 " | Ack: " Ack! 0 " 
operation: " r x 1606985776810 " | Ack: " 1 0 " 
operation: " w x 2 1606985784424 " | Ack: " Ack! 0 " 
operation: " w x 1 1606985876852 " | Ack: " Ack! 0 " 
operation: " r x 1606985876852 " | Ack: " 1 0 " 
operation: " w x 2 1606985884253 " | Ack: " Ack! 0 " 
operation: " w x 1 1606986079198 " | Ack: " Ack! 1606986079198 " 
operation: " r x 1606986079198 " | Ack: " 1 1606986079198 " 
operation: " w y 2 1606986089755 " | Ack: " Ack! 1606986089755 " 
operation: " r y 1606986089755 " | Ack: " 2 1606986089755 " 
operation: " r x 1606986089755 " | Ack: " 1 1606986089755 " 
operation: " w x 3 1606986105917 " | Ack: " Ack! 1606986105917 " 
operation: " r x 1606986105917 " | Ack: " 3 1606986105917 " 
operation: " r y 1606986105917 " | Ack: " 2 1606986105917 " 
operation: " w x 1 1606986273954 " | Ack: " Ack! 1606986273954 " 
operation: " r y 1606986273954 " | Ack: " NULL 1606986273954 " 
operation: " r x 1606986273954 " | Ack: " 1 1606986273954 " 
operation: " w x 1 1606986344619 " | Ack: " Ack! 1606986344619 " 
operation: " r x 0 " | Ack: " NULL 1606986344619 " 
operation: " r y 0 " | Ack: " NULL 1606986344619 " 
operation: " w x 2 1606986359294 " | Ack: " Ack! 1606986359294 " 
operation: " r x 0 " | Ack: " NULL 1606986359294 " 
operation: " w x 5 1606986380919 " | Ack: " Ack! 1606986380919 " 
operation: " r x 0 " | Ack: " NULL 1606986380919 " 
operation: " w x 1 1606986956453 " | Ack: " Ack! 1606986956453 /127.0.0.1:58804 " 
operation: " r x 1606986956453 " | Ack: " 1 1606986956453 /127.0.0.1:58804 " 
operation: " r y 1606986956453 " | Ack: " NULL 1606986956453 /127.0.0.1:58804 " 
operation: " w y 3 1606986974648 " | Ack: " Ack! 1606986974648 /127.0.0.1:58810 " 
operation: " r y 1606986974648 " | Ack: " 3 1606986974648 /127.0.0.1:58810 " 
operation: " r x 1606986974648 " | Ack: " 1 1606986974648 /127.0.0.1:58810 " 
operation: " w x 4 1606986989673 " | Ack: " Ack! 1606986989673 /127.0.0.1:58816 " 
operation: " r y 1606986989673 " | Ack: " 3 1606986989673 /127.0.0.1:58816 " 
operation: " r x 1606986989673 " | Ack: " NULL 0 NULL " 
operation: " w x 1 1606987063761 " | Ack: " Ack! 1606987063761 /127.0.0.1:58826 " 
operation: " r x 1606987063761 " | Ack: " 1 1606987063761 /127.0.0.1:58826 " 
operation: " r x 0 " | Ack: " NULL 0 NULL " 
operation: " w x 1 1606987098776 " | Ack: " Ack! 1606987098776 /127.0.0.1:58838 " 
operation: " r x 1606987098776 " | Ack: " 1 1606987098776 /127.0.0.1:58838 " 
operation: " r x 0 " | Ack: " NULL 1606987098776 /127.0.0.1:58838 " 
operation: " r x 1606987098776 " | Ack: " 1 1606987098776 /127.0.0.1:58838 " 
operation: " w x 1 1611915104591 " | Ack: " Ack! 1611915104591 /127.0.0.1:45584 " 
operation: " r x 1611915104591 " | Ack: " 1 1611915104591 /127.0.0.1:45584 " 
operation: " w r 2 1611915117168 " | Ack: " Ack! 1611915117168 /127.0.0.1:45588 " 
operation: " r x 1611915117168 " | Ack: " 1 1611915117168 /127.0.0.1:45588 " 
operation: " r r 1611915117168 " | Ack: " 2 1611915117168 /127.0.0.1:45588 " 
